size (bytes),iterations,latency (seconds)
0,1048576,4.4097843465805855e-5
1,1048576,4.47453599147771e-5
2,1048576,4.540696479273669e-5
4,1048576,4.5373359373568665e-5
8,1048576,4.549229075000741e-5
16,1048576,4.558485437823335e-5
32,1048576,4.5855961954573046e-5
64,1048576,4.774212093640529e-5
128,1048576,4.8938384884344445e-5
256,1048576,5.1791703016749286e-5
512,1048576,5.979776365038988e-5
1024,1048576,7.170153867386948e-5
2048,524288,8.609017949395077e-5
4096,262144,0.00010659115031054012
8192,131072,0.00013903366020188122
16384,65536,0.00021041550904105435
32768,32768,0.00035209522851549144
65536,16384,0.00011964925817826988
131072,8192,0.00021630923931892365
262144,4096,0.0002530086585686153
524288,2048,0.00044296120361320135
1048576,1024,0.0007567512812497457
2097152,512,0.0014516131201169902
4194304,256,0.002863212785153557
